symbol,name,sector_name,list_days,amount_proxy,turnover_rate,total_mv,source,group
600330.SH,天通股份,专用机械,9248,5951484561.213881,16.3453,3641098.396,,
600331.SH,宏达股份,农药化肥,8912,1385087562.56,3.1285,4427321.6,,
600338.SH,西藏珠峰,铅锌,9270,1622352308.5806632,8.3589,1940868.1867,,
600343.SH,航天动力,机械基件,8438,1281265406.4643738,5.6921,2250953.7894,,
600345.SH,长江通信,通信设备,9275,1840655675.525184,10.1367,1815833.2352,,
600353.SH,旭光电子,元器件,8577,1847107180.589496,10.5672,1747962.7343,,
600362.SH,江西铜业,铜,8890,4564913058.1593,2.843,16056676.251,screenshot_watchlist,铜
600378.SH,昊华科技,化工原料,9255,1632945515.8908591,3.4277,4763968.5967,,
600379.SH,宝光股份,电气设备,8885,1523957412.322272,24.7333,616156.1184,,
600392.SH,盛和资源,小金属,8387,1796220736.4971402,4.0762,4406605.997,,
600396.SH,华电辽能,火力发电,9179,5994187546.447121,23.3516,2566927.982,screenshot_watchlist,火力发电
600406.SH,国电南瑞,电气设备,8247,3926089469.5830603,1.846,21268090.3011,screenshot_watchlist,电气设备
600410.SH,华胜天成,软件服务,8053,2168993895.65444,8.623,2515358.8028,,
600415.SH,小商品城,商品城,8772,2701770194.015214,3.5833,7539893.9358,,
600418.SH,江淮汽车,汽车整车,9030,2363601256.828495,2.2859,10339915.3805,,
600438.SH,通威股份,电气设备,8109,1400231565.71034,1.914,7315734.4081,,
600452.SH,涪陵电力,水力发电,8108,1259423109.250893,6.4641,1948334.8173,,
600460.SH,士兰微,半导体,8466,2647615934.359421,5.1407,5150302.3603,,
600481.SH,双良节能,电气设备,8424,2132039301.516328,15.2792,1395386.7359,,
600482.SH,中国动力,船舶,7975,1802542385.6563663,2.1449,8403852.7934,,
600487.SH,亨通光电,通信设备,8302,11150598362.920568,6.4771,17215417.9539,,
600489.SH,中金黄金,黄金,8310,2385581029.5939775,2.0203,11808053.4059,,
600497.SH,驰宏锌锗,铅锌,8060,3146523041.46844,6.274,5015178.5806,,
600498.SH,烽火通信,通信设备,9031,7754110878.630876,10.5162,7373491.2598,,
600509.SH,天富能源,火力发电,8842,2878158018.245712,20.8786,1378520.5992,,
600510.SH,黑牡丹,,,,,,lianban_potential,全国地产
600519.SH,贵州茅台,白酒,9027,7755166307.008265,0.4646,166921358.3084,,
600522.SH,中天科技,通信设备,8604,14967419402.276417,10.6989,13989680.6235,,
600531.SH,豫光金铅,铅锌,8690,1694953531.628703,9.1491,1852590.4533,,
600545.SH,卓郎智能,纺织机械,8199,1365794585.326653,12.0871,1129960.5243,,
600547.SH,山东黄金,黄金,8296,2956723052.655888,2.0106,14705675.1848,,
600549.SH,厦门钨业,小金属,8590,2880555729.8436236,3.3978,8477708.3108,,
600550.SH,保变电气,电气设备,9207,1140017596.855326,4.1079,2775183.4194,,
600552.SH,凯盛科技,元器件,8589,1889347242.020697,11.4687,1647394.4231,,
600563.SH,法拉电子,元器件,8557,1331427352.5,4.417,3014325.0,,
600577.SH,精达股份,电气设备,8647,1635691303.034948,5.4044,3026591.8567,,
600578.SH,京能电力,火力发电,8771,3108643318.478915,6.6241,4692929.3315,lianban_pool,火力发电
600580.SH,卧龙电驱,电气设备,8744,3573888423.0457106,5.6518,6323451.6845,,
600584.SH,长电科技,半导体,8382,14575189122.417747,14.0314,10387551.5789,,
600585.SH,海螺水泥,水泥,8863,1252107342.929266,1.1537,10852971.6818,,
600589.SH,大位科技,软件服务,9103,3120131910.5965023,16.3546,1907800.8087,,
600601.SH,方正科技,元器件,12931,3291316240.881679,6.161,5342178.6088,,
600602.SH,云赛智联,软件服务,12931,1431323609.9457102,4.693,3049911.8047,,
